candidate_id,vtlin_v,vtsat_v,idlin_a,idsat_a,idoff_a,isoff_a,w_min_l_min__toxe,w_min_l_min__vth0,w_min_l_min__u0,w_min_l_min__vsat,w_min_l_min__rdsw,w_min_l_min__nfactor,w_min_l_min__eta0,w_min_l_min__cit,w_min_l_min__voff,w_min_l_min__k2,w_min_l_min__ub,w_min_l_min__uc,w_min_l_min__a0,w_min_l_min__keta,w_min_l_max__toxe,w_min_l_max__vth0,w_min_l_max__u0,w_min_l_max__vsat,w_min_l_max__rdsw,w_min_l_max__nfactor,w_min_l_max__eta0,w_min_l_max__cit,w_min_l_max__voff,w_min_l_max__k2,w_min_l_max__ub,w_min_l_max__uc,w_min_l_max__a0,w_min_l_max__keta,w_max_l_min__toxe,w_max_l_min__vth0,w_max_l_min__u0,w_max_l_min__vsat,w_max_l_min__rdsw,w_max_l_min__nfactor,w_max_l_min__eta0,w_max_l_min__cit,w_max_l_min__voff,w_max_l_min__k2,w_max_l_min__ub,w_max_l_min__uc,w_max_l_min__a0,w_max_l_min__keta,w_max_l_max__toxe,w_max_l_max__vth0,w_max_l_max__u0,w_max_l_max__vsat,w_max_l_max__rdsw,w_max_l_max__nfactor,w_max_l_max__eta0,w_max_l_max__cit,w_max_l_max__voff,w_max_l_max__k2,w_max_l_max__ub,w_max_l_max__uc,w_max_l_max__a0,w_max_l_max__keta
1,0.01804710895482982,0.11393473885694218,0.14237455719914377,0.08946231483476082,2.6892001705250115,3.139552036849083,1.0233505280931982e-09,0.2821267462736402,427.322194200276,104909.47459834328,151.9275458115939,1.0188363907262197,0.0600061238731303,0.0001545154160878934,-0.11881924818059218,0.007168050050440899,4.078778894340578e-18,-0.04029410842108176,0.9844970658116756,-0.04912533618469211,1.1561595253173045e-09,0.374398337833499,486.1731210336729,92488.3416221712,220.74381855982122,1.1424440525774255,0.0305795962117974,0.00010194878462692938,-0.08669375041378624,0.056460190951444784,1.946337717526995e-18,-0.029684765895118703,0.9464504521221555,-0.01708263841543949,1.0066392193884503e-09,0.2598298118743866,644.3113900046734,125531.51494452204,97.08823556536461,0.9922017928243316,0.048056788372142126,0.00010063109433149558,-0.17677557541304575,-0.008739003197709662,3.23706288093422e-18,-0.049028950867331104,1.3277095097853144,-0.05485780768946488,1.1373427240490322e-09,0.3220294953155051,734.5943959396599,112245.69203308827,183.54050945927253,1.1045405292121744,0.018401453065170895,7.340281975578417e-05,-0.08142959147042528,0.03770350242076307,1.7243508037964492e-18,-0.023800275839109215,1.2239731653203327,-0.011868425778837784
2,0.08539746277717049,0.13384255021017197,0.04410211964495845,0.01934593541015662,0.03461861892389509,0.7529099309568965,9.598765623176951e-10,0.2950088107699774,459.13569943176896,103703.98316963133,159.69230772092425,1.0799324298279824,0.05997972894839469,0.00013850973140068477,-0.1189876252587706,0.02226890868937678,4.0979222172104556e-18,-0.041033031169546756,1.1625033186225098,-0.05065713595062509,1.1561288551205996e-09,0.37386114039934865,501.46582671912967,93369.34641872515,240.9968936140239,1.140366879357504,0.03011006380725111,0.00010531885446223259,-0.09185324825699852,0.052650189363150884,2.306328668916939e-18,-0.024895505921305097,0.9619299789888099,-0.020029500214955146,1.0090529505999924e-09,0.2616170871075509,643.1619582302504,125540.37372099006,122.10109050735312,1.0406175699668458,0.05015645616521369,0.00013169255767036975,-0.1346198787430306,-0.007489462287222949,3.3152848566794333e-18,-0.04692986543766462,1.342591235757758,-0.05177983380875584,1.1454074140583823e-09,0.33980940807544613,718.1721566312121,114861.58962909886,179.48540180370452,1.10475150967045,0.019964708935991813,8.507434654880204e-05,-0.09201469100350664,0.03690470403772306,1.4964264014146147e-18,-0.025047647981138472,1.199672429630498,-0.016611910178013913
3,0.08531677203932346,0.13370339154355482,0.04409960091947386,0.01198160273991916,0.11163393613201299,0.7524984170209117,9.598765623176951e-10,0.2950088107699774,458.3166616312932,103703.98316963133,159.90269895229451,1.0799324298279824,0.05997972894839469,0.00013850973140068477,-0.1189876252587706,0.02226890868937678,4.0979222172104556e-18,-0.041033031169546756,0.9961329894606481,-0.05065713595062509,1.1561787045172518e-09,0.37386114039934865,501.4675174300148,93369.34641872515,240.9968936140239,1.140366879357504,0.03011006380725111,0.000105346700992841,-0.09185324825699852,0.05311006380725111,2.306328668916939e-18,-0.024895505921305097,0.9619299789888099,-0.01692662412849926,1.0090529505999924e-09,0.2616170871075509,643.1619582302504,125540.37372099006,122.10109050735312,1.0406175699668458,0.05018527099005374,0.00011617960586795215,-0.1346198787430306,-0.0077732648540161636,3.3152848566794333e-18,-0.04692986543766462,1.342591235757758,-0.05177983380875584,1.1454074140583823e-09,0.33980940807544613,718.1703175242827,112137.60868204535,179.48540180370452,1.104610572787449,0.019964708935991813,6.519647024004484e-05,-0.09560814430843272,0.03690470403772306,1.4964264014146147e-18,-0.025047647981138472,1.2323590669018982,-0.016611910178013913
4,0.29756227209844727,0.2929212084870893,0.020627828322656076,0.07600430195467131,0.20182026207275774,37.45200568903473,9.953355259296298e-10,0.2762368703789086,392.9976197419901,98034.01301297035,153.10542241169935,1.0807343287866602,0.05428948961604193,0.00015380541383181557,-0.1481034492586636,0.007148982543562959,3.742589910188743e-18,-0.044594995384089384,1.1631172296383157,-0.053074118468413284,1.1644067921552845e-09,0.3093896334440844,495.862662927242,89966.56791370857,221.12841733224528,1.0596187332700158,0.03450300754270504,0.00010759103880669297,-0.12426178527106246,0.0526414520028551,2.82907963670775e-18,-0.012374343814007673,0.8337037163634106,-0.021068070325443656,1.0166643549296377e-09,0.2599120579569439,646.105202155344,136454.4786336007,120.87923122546867,0.9734234431843275,0.04971341461288272,0.00013216487921611887,-0.13375440902169414,-0.02007097663267137,3.2549993353538205e-18,-0.05574416736589233,1.4441048912594878,-0.04742433561918333,1.1449704581039215e-09,0.36766146269808575,683.8017034945669,100878.51864764316,188.78557096210298,1.1023451079520021,0.020061769638775876,7.444984580988364e-05,-0.10731446789765041,0.0452592577743641,1.2026961967595443e-18,-0.026378571227969726,1.0510578094308083,-0.01708433757048835
5,0.04824806540890039,0.032631560967630646,0.042365056290833994,0.024774780485164075,0.052369909802005905,0.04412298687837149,9.991553728497788e-10,0.2949594578967894,419.7729642220205,104950.33592356699,159.90269895229451,1.0799324298279824,0.05997972894839469,0.00015490573961003535,-0.1350270280688071,0.00797972894839469,4.0979222172104556e-18,-0.04701013552580265,0.9798986447419734,-0.04801351403440354,1.1552738907641156e-09,0.37522012761450224,501.4675174300148,95243.97477273995,220.72642112785732,1.140366879357504,0.03011006380725111,0.000105346700992841,-0.09185324825699852,0.05311006380725111,2.306328668916939e-18,-0.024944968096374445,0.8205503190362555,-0.01692662412849926,1.0077196245855722e-09,0.2603705419801075,643.1619582302504,125540.37372099006,120.66697556419345,1.0406175699668458,0.05018527099005374,0.0001307225568612096,-0.1347529720132617,-0.007814729009946265,3.3152848566794333e-18,-0.04690736450497313,1.3609263549502686,-0.047876486006630845,1.1454337351408966e-09,0.33980940807544613,718.1703175242827,114744.28916789021,179.48540180370452,1.0996823467924104,0.01990470403772306,7.977128969053536e-05,-0.09212706128303592,0.03690470403772306,1.4964264014146147e-18,-0.025047647981138472,1.1995235201886152,-0.01706353064151796
6,0.048194762756145586,0.023733763760586356,0.09573039259601632,0.07912298863256952,0.07779062571353193,0.44671766134956636,9.95357849165348e-10,0.29385134313589145,392.6076408028907,104859.33665055051,159.90269895229451,0.9534880621251902,0.05998795847635979,0.00015172394280398574,-0.14828088924883437,0.009875729057631075,4.0979222172104556e-18,-0.04701013552580265,0.9798986447419734,-0.04801351403440354,1.1552738907641156e-09,0.37522012761450224,495.62557191535296,95243.97477273995,220.93246830889188,1.06652657945684,0.024664071903641265,0.00011241976125562066,-0.10364892194878053,0.02675971022272035,2.306328668916939e-18,-0.012215191080510024,0.8335438312873579,-0.023046185158394177,1.0080548985036048e-09,0.2603701059599378,642.2108388620275,124270.63639944902,120.50998726558623,1.0413547122321534,0.04973635295128223,0.00012140506850234187,-0.13474977080080477,-0.02073241462100895,3.3152848566794333e-18,-0.04699882316730891,1.5541306651308442,-0.05543810624338876,1.145426182666888e-09,0.34176902719338753,718.6024238459329,100882.93190418293,179.5363113667226,1.0996631529232685,0.01803828813972171,7.9675738733949e-05,-0.09576738965033924,0.03692219986361564,1.4964264014146147e-18,-0.026338550982683222,1.1554218288860096,-0.016104021874419353
7,0.03391726648254979,0.0798745468071698,0.32319729031266153,0.27299990830681,0.27594089865899646,3.50997896491963,9.991169249081685e-10,0.28190524295189245,427.85216976348556,105361.11709725682,151.93750047776777,1.0780782346728046,0.0653402276645286,0.00015354575665438088,-0.15684110822640684,0.006904643628093981,4.995200827535443e-18,-0.04026133649793392,1.147904655633686,-0.048009658729553255,1.1336228707191413e-09,0.3744428564897512,570.262619543198,99987.64920276757,219.70004346921982,1.077487145963044,0.03085033622807186,0.00010694229165531477,-0.0866934385916808,0.050823313357617715,1.946337717526995e-18,-0.02987312478081291,0.9264565199348935,-0.019811106992263176,1.016773903488283e-09,0.25901653218741927,627.2091306200439,125976.66216727435,97.16611374955667,1.039654560180403,0.047982519153090084,0.000130624703916738,-0.13523869708185424,-0.010278551312083346,3.069822814398469e-18,-0.049028950867331104,1.330746793125173,-0.05179509189237801,1.1373427240490322e-09,0.32199196987570017,756.6185290431221,107036.81785552397,179.52637844505404,1.1081397888729416,0.01269209511721253,7.383864045097751e-05,-0.08141170299575465,0.028247334519076243,1.7243508037964492e-18,-0.023875143198482853,1.132185172334612,-0.014280896114257275
8,0.2800566713159935,0.27458638442647404,0.015420966423948542,0.08929107474912466,0.6543066726606137,30.266308821841008,9.9544559438319e-10,0.27709885484082164,393.4198422250554,98509.6264237726,153.10542241169935,0.9614438915231258,0.05978776003403596,0.00015380541383181557,-0.13055806260713435,0.010403679215534903,3.742589910188743e-18,-0.04456110628798133,1.1631172296383157,-0.053074118468413284,1.1642220386047263e-09,0.3152825246048655,518.9779521533396,90140.22165272175,231.64904123045747,1.0596187332700158,0.03463174243224484,0.00010409727468597899,-0.12373421936810072,0.05265019370101515,2.82907963670775e-18,-0.012280209762432263,0.8233906316193819,-0.023369084879243947,1.0166643549296377e-09,0.2598482270470869,627.3795689629666,125399.21308160904,99.49358049208482,0.9734234431843275,0.05018564063197967,0.00013216487921611887,-0.09738942617297106,-0.02026745361225807,3.2549993353538205e-18,-0.05574416736589233,1.3983284859638674,-0.055047824370250915,1.1449704581039215e-09,0.342288023058833,656.968044064001,100878.51864764316,188.78557096210298,1.1023451079520021,0.017908912103774148,8.535404609016098e-05,-0.10677380545328463,0.04547931794851996,1.2026961967595443e-18,-0.026378571227969726,1.0487788377621021,-0.01605494545832649
9,0.01804710895482982,0.11393473885694218,0.14237455719914377,0.08946231483476082,2.6892001705250115,3.139552036849083,1.0233505280931982e-09,0.2821267462736402,427.322194200276,104909.47459834328,151.9275458115939,1.0188363907262197,0.0600061238731303,0.0001545154160878934,-0.11881924818059218,0.007168050050440899,4.078778894340578e-18,-0.04029410842108176,0.9844970658116756,-0.04912533618469211,1.1561595253173045e-09,0.374398337833499,486.1731210336729,92488.3416221712,220.74381855982122,1.1424440525774255,0.0305795962117974,0.00010194878462692938,-0.08669375041378624,0.056460190951444784,1.946337717526995e-18,-0.029684765895118703,0.9464504521221555,-0.01708263841543949,1.0066392193884503e-09,0.2598298118743866,644.3113900046734,125531.51494452204,97.08823556536461,0.9922017928243316,0.048056788372142126,0.00010063109433149558,-0.17677557541304575,-0.008739003197709662,3.23706288093422e-18,-0.049028950867331104,1.3277095097853144,-0.057930572109489806,1.1373427240490322e-09,0.3220294953155051,734.5943959396599,112245.69203308827,183.54050945927253,1.1045405292121744,0.018401453065170895,7.340281975578417e-05,-0.08142959147042528,0.03770350242076307,1.7243508037964492e-18,-0.023800275839109215,1.2239731653203327,-0.011868425778837784
10,0.03330684634465135,0.0998132005600802,0.11014211170084187,0.10706797301106988,0.2773884762856382,5.289144324862012,1.0228973311006649e-09,0.28190524295189245,383.043055366785,101444.49822408445,153.0137064940273,1.2244477408726486,0.05934932126463606,0.00015354575665438088,-0.1574632206133456,0.007151305381324464,4.078778894340578e-18,-0.04055732533678676,0.8342408755590988,-0.04904093173628698,1.132284712228839e-09,0.3731082083972384,476.97737407106456,107510.06292489872,243.81330943617627,1.0799677656039368,0.034655864440913745,0.00012679568608076357,-0.08685308211979947,0.050823313357617715,1.946337717526995e-18,-0.029684765895118703,0.7817569207545175,-0.02104232665920785,1.0135998172688044e-09,0.24845059645470816,592.075455183148,125940.9245813497,97.16691826423019,1.003628912435689,0.04797761892091988,0.00011498232985516795,-0.1330294361896321,0.0035973353059065164,3.23706288093422e-18,-0.04634758046086062,1.327302025540536,-0.05520053202121377,1.1373427240490322e-09,0.3218495244612131,722.0496575692962,106917.40458584864,183.60822521139954,1.1082754804010706,0.01884298279638263,7.340281975578417e-05,-0.08108026343363367,0.016114373486946672,1.7243508037964492e-18,-0.026485300689002234,1.2250273865167305,-0.014282919217967377
